,CustomerID,UniqueYears,NumUniqueItems,Amount,FrequencyPurchase,Recency,Cluster,WeightedScore,RiskCategory
0,12346.0,1,1,1.0816000000000001,1,325,0,1639.408,High Risk
1,12747.0,2,42,3087.5103,11,1,1,15616.5515,Low Risk
2,12748.0,2,1768,939973.8161,211,0,-1,4706021.0805,Low Risk
3,12749.0,1,160,9427.1697,5,3,0,47652.8485,Low Risk
4,12820.0,1,55,315.6612,4,2,0,1771.306,High Risk
5,12821.0,1,6,83.0401,1,213,0,1504.2005,High Risk
6,12822.0,1,41,649.9054,2,70,0,3732.527,Medium Risk
7,12823.0,1,1,292.61250000000007,5,74,0,1858.0625000000005,Medium Risk
8,12824.0,1,25,298.8575,1,59,0,1870.2875000000001,Medium Risk
9,12826.0,2,58,511.80240000000003,7,2,1,2775.012,Medium Risk
10,12827.0,1,19,283.3028,3,5,0,1512.514,High Risk
11,12828.0,1,46,933.9798,6,2,0,4843.898999999999,Medium Risk
12,12829.0,2,9,2966.4979000000003,2,336,1,16551.489500000003,Low Risk
13,12830.0,1,13,80.7564,6,37,0,653.7819999999999,High Risk
14,12831.0,1,9,194.58999999999997,1,261,0,2310.95,Medium Risk
15,12832.0,1,27,344.7314,2,31,0,1969.6570000000002,Medium Risk
16,12833.0,1,24,1086.7496999999998,1,144,0,6231.7485,Medium Risk
17,12834.0,1,18,571.3011,1,282,0,4326.5055,Medium Risk
18,12836.0,1,148,6041.6042,5,58,0,30964.021,Low Risk
19,12837.0,1,12,774.2375,1,172,0,4773.1875,Medium Risk
20,12838.0,2,115,1312.5834,2,33,1,7084.9169999999995,Medium Risk
21,12839.0,2,95,2027.0969,14,2,1,10490.4845,Low Risk
22,12840.0,1,67,574.6037,4,143,0,3807.0185,Medium Risk
23,12841.0,2,229,5422.585099999999,24,4,-1,27919.925499999998,Low Risk
24,12842.0,1,34,4665.8191,2,69,0,23786.0955,Low Risk
25,12843.0,1,69,2163.1252,8,65,0,11381.626,Low Risk
26,12844.0,1,47,553.3572,2,28,0,3057.786,Medium Risk
27,12845.0,1,26,346.6426,4,266,0,3159.213,Medium Risk
28,12847.0,1,72,383.9378,1,21,0,2246.689,Medium Risk
29,12849.0,1,47,727.2357,2,30,0,3937.1785,Medium Risk
30,12851.0,1,43,547.9312,1,96,0,3354.656,Medium Risk
31,12852.0,1,17,409.2025,1,294,0,3573.0125,Medium Risk
32,12853.0,1,66,2166.3462,6,134,0,11725.731,Low Risk
33,12854.0,1,95,1405.6024,3,78,0,7717.012,Medium Risk
34,12855.0,1,3,10.1475,1,372,0,1925.7375,Medium Risk
35,12856.0,1,155,3255.4375999999997,6,7,0,16803.188,Low Risk
36,12857.0,1,37,1154.9475,2,210,0,6945.7375,Medium Risk
37,12863.0,1,5,100.9359,1,51,0,780.6795,High Risk
38,12864.0,1,3,1.4954999999999998,1,137,0,707.4775,High Risk
39,12867.0,2,240,1605.7584,7,25,1,8905.792,Medium Risk
40,12868.0,2,72,1227.6951,6,185,1,7307.4755,Medium Risk
41,12871.0,1,8,87.90140000000001,2,83,0,888.5070000000001,High Risk
42,12872.0,2,58,742.7069,2,326,1,5529.5345,Medium Risk
43,12873.0,1,4,91.7575,1,281,0,1881.7875,Medium Risk
